Train_No,Train_Name,distance,Source_Station_Name,departure_time,day_of_departure,Destination_Station_Name,arrival_time,day_of_arrival
107,SWV-MAO-VLNK,2392,SAWANTWADI ROAD,07:17:00,Saturday,MADGOAN JN.,22:38:42,Tuesday
108,VLNK-MAO-SWV,2408,MADGOAN JN.,07:39:35,Friday,SAWANTWADI ROAD,20:38:48,Sunday
128,MAO-KOP SPEC,2330,MADGOAN JN.,04:09:32,Friday,CHHATRAPATI SHAHU MAHARAJ TERMINUS,05:41:24,Saturday
290,PALACE ON WH,427,DELHI-SAFDAR JANG,06:18:38,Wednesday,DELHI-SAFDAR JANG,07:34:34,Monday
401,BSB BHARATDA,1592,AURANGABAD,13:47:15,Saturday,VARANASI JN.,13:18:26,Friday
421,LKO-SVDK FTR,1892,LUCKNOW JN.,15:58:02,Tuesday,SHRI MATA VAISHNO DEVI KATRA,05:10:35,Saturday
422,SVDK-LKO FTR,2092,SHRI MATA VAISHNO DEVI KATRA,22:39:18,Monday,LUCKNOW JN.,11:01:09,Monday
477,FTR TRAIN NO,1905,SIRSA,10:29:31,Sunday,SIRSA,05:42:41,Tuesday
502,RJPB-UMB FTR,1598,RAJENDRANAGAR TERMINAL,08:54:01,Monday,AMBALA CANTT JN,00:18:03,Monday
504,PNBE-BTI FTR,97,PATNA JN.,11:48:24,Wednesday,BATHINDA JN,19:39:47,Tuesday
506,PNBE-PTA FTR,662,PATNA JN.,16:56:44,Friday,PATIALA,00:49:33,Thursday
557,RSD-PJP BSF,1344,URKURA,06:44:37,Wednesday,PANJIPARA,21:19:17,Wednesday
22439,SVDK VANDEBHARAT,1893,NEW DELHI,04:38:07,Friday,SHMATA VD KATRA,00:48:15,Tuesday
604,PNBE-ASR FTR,698,PATNA JN.,17:45:13,Thursday,AMRITSAR JN.,22:21:47,Tuesday
1011,CSMT-NGP SF,883,CST-MUMBAI,08:54:26,Thursday,NAGPUR JN.(CR),00:30:47,Friday
1037,LTT-SWV SPL,57,LOKMANYA TILAK TERMINUS,06:41:41,Tuesday,SAWANTWADI ROAD,17:04:30,Friday
1038,SWV-LTT SPL,1660,SAWANTWADI ROAD,23:07:34,Tuesday,LOKMANYA TILAK TERMINUS,00:04:17,Friday
1045,LTT-KRMI SPL,2633,LOKMANYA TILAK TERMINUS,19:31:21,Thursday,KARMALI,18:36:54,Sunday
1119,AJNI-KRMI SP,2938,AJNI,15:46:41,Monday,KARMALI,01:00:22,Thursday
1120,KRMI-AJNI SP,314,KARMALI,10:20:51,Sunday,AJNI,05:55:57,Thursday
1122,KRMI-CSMT SP,874,KARMALI,02:04:06,Friday,CST-MUMBAI,12:28:35,Monday
1196,NGP-KRMI SPL,2617,NAGPUR JN.(CR),22:50:04,Saturday,KARMALI,16:26:13,Saturday
1301,PUNE-MAJN WE,99,PUNE JN.,14:18:50,Monday,MANGALORE JN,21:47:20,Saturday
1302,MAJN-PUNE WE,1120,MANGALORE JN,08:24:29,Tuesday,PUNE JN.,10:14:38,Saturday
1442,DSJ-KK MTY S,2041,DELHI-SAFDAR JANG,00:27:11,Tuesday,KHADKI,22:05:56,Monday
1655,PUNE-JBP SPL,2339,PUNE JN.,09:44:32,Wednesday,JABALPUR,05:21:51,Wednesday
1656,JBP-PUNE SPL,2678,JABALPUR,08:27:51,Friday,PUNE JN.,23:20:28,Thursday
1705,BDTS-JBP SF,278,BANDRA TERMINUS,06:26:27,Friday,JABALPUR,00:18:04,Friday
1706,JBP-BDTS SF,1277,JABALPUR,01:20:59,Saturday,BANDRA TERMINUS,01:13:44,Sunday
1707,JBP-ATT BI-W,41,JABALPUR,07:55:47,Thursday,ATARI JN,21:28:16,Friday
1708,ATT-JBP BI-W,2384,ATARI JN,05:16:28,Tuesday,JABALPUR,09:46:21,Sunday
2025,CSMT-KRMI SF,413,CST-MUMBAI,09:02:04,Tuesday,KARMALI,03:10:02,Friday
2026,KRMI-CSMT SF,989,KARMALI,20:35:04,Monday,CST-MUMBAI,05:42:11,Wednesday
2191,JBP-SRC SF S,123,JABALPUR,15:32:14,Tuesday,SANTRAGACHI JN.,20:28:44,Friday
2192,SRC-JBP SF S,1873,SANTRAGACHI JN.,15:11:02,Wednesday,JABALPUR,01:21:27,Wednesday
2195,REWA-BPL SF,2210,REWA,01:34:16,Thursday,BHOPAL,00:57:16,Monday
2196,BPL-REWA SF,1060,BHOPAL,14:59:22,Monday,REWA,21:14:31,Tuesday
2515,TVC-SCL SPL,1279,TRIVANDRUM CENTRAL,07:49:39,Wednesday,SILCHAR,20:33:49,Thursday
2651,PLNI-POY EXP,484,PALANI,01:05:52,Monday,POLLACHI,06:18:44,Monday
2652,POY-PLNI EXP,1560,POLLACHI,01:19:52,Thursday,PALANI,22:47:43,Wednesday
2731,HYB-JP HSP,608,HYDERABAD DECCAN,17:29:49,Thursday,JAIPUR JN.,08:59:52,Friday
2732,JP-HYB SPECI,1728,JAIPUR JN.,10:32:04,Monday,HYDERABAD DECCAN,12:56:18,Wednesday
2821,PUNE-SRC AC,2550,PUNE JN.,13:34:33,Friday,SANTRAGACHI JN.,01:33:40,Friday
2822,SRC-PUNE  AC,2045,SANTRAGACHI JN.,02:34:30,Friday,PUNE JN.,00:35:47,Friday
2833,RJT-SRC SF A,1647,RAJKOT,00:40:26,Thursday,SANTRAGACHI JN.,23:17:03,Monday
2834,SRC-RJT SF A,2094,SANTRAGACHI JN.,02:00:57,Saturday,RAJKOT,23:29:58,Thursday
2841,SRC MAS SPL,2169,SANTRAGACHI JN.,07:11:17,Wednesday,CHENNAI CENTRAL,11:23:12,Friday
2842,MAS SRC SPL,1110,CHENNAI CENTRAL,23:52:50,Wednesday,SANTRAGACHI JN.,09:14:55,Monday
2845,PUNE HTE SPL,2033,PUNE JN.,01:23:17,Thursday,HATIA,05:59:09,Wednesday
2846,HTE-PUNE SPL,1917,HATIA,18:20:34,Friday,PUNE JN.,10:46:36,Saturday
3101,KOAA PURI SP,648,KOLKATA,11:32:54,Friday,PURI,02:45:07,Tuesday
3102,PURI KOAA SP,1865,PURI,16:25:18,Sunday,KOLKATA,07:17:58,Thursday
3301,ASN-DHN MEMU,813,ASANSOL MAIN,19:07:55,Wednesday,DHANBAD JN.,04:25:32,Wednesday
3302,DHN-ASN MEMU,2768,DHANBAD JN.,02:14:37,Monday,ASANSOL MAIN,04:09:13,Thursday
3305,DHN-KUSUNDA,2011,DHANBAD JN.,13:45:13,Saturday,KUSUNDA,08:44:17,Saturday
3306,KUSUNDA-DHN,1723,KUSUNDA,05:01:03,Friday,DHANBAD JN.,14:11:02,Friday
3307,SZE-PLJE MEM,927,SONARDIH,17:06:28,Wednesday,PHULWARTANR,08:28:35,Saturday
3308,PLJE-SZE MEM,1647,PHULWARTANR,18:20:08,Friday,SONARDIH,21:46:02,Wednesday
3501,JSME-ANVT BI,67,JASIDIH JN.,16:54:28,Sunday,ANAND VIHAR TERMINAL,06:56:07,Saturday
3502,ANVT-JSME BI,2855,ANAND VIHAR TERMINAL,13:40:56,Saturday,JASIDIH JN.,12:56:43,Saturday
4401,ANVT-UHP EXP,1741,ANAND VIHAR TERMINAL,08:31:46,Thursday,SHRI MATA VAISHNO DEVI KATRA,22:29:44,Saturday
4402,UHP-ANVT EXP,2453,SHRI MATA VAISHNO DEVI KATRA,13:21:22,Thursday,ANAND VIHAR TERMINAL,03:43:37,Sunday
4409,DLI-SVDK SPL,1983,DELHI JN.,00:07:44,Sunday,SHRI MATA VAISHNO DEVI KATRA,01:46:19,Monday
4410,SVDK-DLI SPL,869,SHRI MATA VAISHNO DEVI KATRA,02:03:08,Wednesday,DELHI JN.,16:57:26,Monday
4419,MAO-NZM WINT,204,MADGOAN JN.,20:39:49,Sunday,HAZRAT NIZAMUDDIN JN,02:10:02,Monday
4420,NZM-MAO WINT,2360,HAZRAT NIZAMUDDIN JN,19:07:34,Wednesday,MADGOAN JN.,21:14:03,Sunday
4735,BKN - HW EXP,2693,BIKANER JN.,14:53:50,Sunday,HARIDWAR JN,08:40:17,Sunday
4736,HW - BKN EXP,2073,HARIDWAR JN,00:28:09,Tuesday,BIKANER JN.,05:30:26,Monday
4767,HMH-SGNR SPL,1693,HANUMANGARH JN.,07:59:08,Sunday,SHRI GANGANAGAR,23:37:30,Sunday
4768,SGNR-HMH SPL,2047,SHRI GANGANAGAR,01:45:01,Wednesday,HANUMANGARH JN.,15:54:35,Friday
4769,HMH SGNR PAS,1174,HANUMANGARH JN.,10:48:17,Monday,SHRI GANGANAGAR,21:33:59,Tuesday
4770,SGNR HMH PAS,1382,SHRI GANGANAGAR,23:38:17,Thursday,HANUMANGARH JN.,08:10:22,Friday
4771,SDLP-SGNR SP,852,SADULPUR JN,05:23:53,Tuesday,SHRI GANGANAGAR,08:14:12,Monday
4772,SGNR-SDLP SP,26,SHRI GANGANAGAR,05:05:14,Tuesday,SADULPUR JN,06:05:24,Friday
4773,SGNR SOG SPL,2736,SHRI GANGANAGAR,22:44:36,Tuesday,SURATGARH JN.,03:42:24,Saturday
4774,SOG SGNR SPL,911,SURATGARH JN.,13:41:28,Sunday,SHRI GANGANAGAR,05:46:04,Friday
4801,PBC MKN PASS,2288,PARVATSAR CITY,12:48:24,Thursday,MAKRANA JN.,13:13:22,Tuesday
4802,MKN PBC PASS,2715,MAKRANA JN.,11:47:30,Saturday,PARVATSAR CITY,20:03:53,Monday
