train_no,train_name,distance,source_station_name,departure_time,day_of_departure,destination_station_name,arrival_time,day_of_arrival
107,SWV-MAO-VLNK,100,SAWANTWADI ROAD,10:25:00,Saturday,MADGOAN JN.,00:00:00,Monday
108,VLNK-MAO-SWV,32,MADGOAN JN.,11:08:00,Friday,SAWANTWADI ROAD,11:06:00,Friday
128,MAO-KOP SPEC,49,MADGOAN JN.,11:30:00,Friday,CHHATRAPATI SHAHU MAHARAJ TERMINUS,11:28:00,Friday
290,PALACE ON WH,78,DELHI-SAFDAR JANG,00:00:00,Wednesday,DELHI-SAFDAR JANG,12:10:00,Friday
401,BSB BHARATDA,100,AURANGABAD,20:30:00,Saturday,VARANASI JN.,00:00:00,Monday
421,LKO-SVDK FTR,33,LUCKNOW JN.,21:06:00,Tuesday,SHRI MATA VAISHNO DEVI KATRA,21:04:00,Tuesday
422,SVDK-LKO FTR,51,SHRI MATA VAISHNO DEVI KATRA,21:28:00,Monday,LUCKNOW JN.,21:26:00,Monday
477,FTR TRAIN NO,83,SIRSA,00:00:00,Sunday,SIRSA,22:25:00,Tuesday
502,RJPB-UMB FTR,100,RAJENDRANAGAR TERMINAL,19:40:00,Monday,AMBALA CANTT JN,19:40:00,Monday
504,PNBE-BTI FTR,33,PATNA JN.,20:20:00,Wednesday,BATHINDA JN,20:18:00,Friday
506,PNBE-PTA FTR,51,PATNA JN.,20:42:00,Friday,PATIALA,20:40:00,Friday
557,RSD-PJP BSF,83,URKURA,21:18:00,Wednesday,PANJIPARA,21:16:00,Friday
22439,SVDK VANDEBHARAT,11004,NEW DELHI,21:40:00,Friday,SHMATA VD KATRA,21:38:00,Friday
604,PNBE-ASR FTR,114,PATNA JN.,21:56:00,Thursday,AMRITSAR JN.,21:54:00,Saturday
1011,CSMT-NGP SF,132,CST-MUMBAI,22:20:00,Thursday,NAGPUR JN.(CR),22:18:00,Saturday
1037,LTT-SWV SPL,163,LOKMANYA TILAK TERMINUS,22:42:00,Tuesday,SAWANTWADI ROAD,22:40:00,Tuesday
1038,SWV-LTT SPL,179,SAWANTWADI ROAD,22:58:00,Tuesday,LOKMANYA TILAK TERMINUS,22:56:00,Tuesday
1045,LTT-KRMI SPL,244,LOKMANYA TILAK TERMINUS,23:57:00,Thursday,KARMALI,23:52:00,Saturday
1119,AJNI-KRMI SP,28100,AJNI,00:36:00,Monday,KARMALI,00:34:00,Monday
1120,KRMI-AJNI SP,322,KARMALI,01:12:00,Sunday,AJNI,01:10:00,Tuesday
1122,KRMI-CSMT SP,352,KARMALI,01:54:00,Friday,CST-MUMBAI,01:52:00,Friday
1196,NGP-KRMI SPL,422,NAGPUR JN.(CR),04:02:00,Saturday,KARMALI,04:00:00,Monday
1301,PUNE-MAJN WE,455,PUNE JN.,05:00:00,Monday,MANGALORE JN,04:55:00,Monday
1302,MAJN-PUNE WE,532,MANGALORE JN,06:25:00,Tuesday,PUNE JN.,06:20:00,Tuesday
1442,DSJ-KK MTY S,56100,DELHI-SAFDAR JANG,07:45:00,Tuesday,KHADKI,07:40:00,Tuesday
1655,PUNE-JBP SPL,588,PUNE JN.,08:33:00,Wednesday,JABALPUR,08:30:00,Friday
1656,JBP-PUNE SPL,652,JABALPUR,10:45:00,Friday,PUNE JN.,10:30:00,Friday
1705,BDTS-JBP SF,797,BANDRA TERMINUS,13:45:00,Friday,JABALPUR,13:42:00,Friday
1706,JBP-BDTS SF,931,JABALPUR,16:35:00,Saturday,BANDRA TERMINUS,16:25:00,Monday
1707,JBP-ATT BI-W,978,JABALPUR,17:45:00,Thursday,ATARI JN,17:45:00,Saturday
1708,ATT-JBP BI-W,100,ATARI JN,18:30:00,Tuesday,JABALPUR,18:30:00,Tuesday
2025,CSMT-KRMI SF,31006,CST-MUMBAI,07:45:00,Tuesday,KARMALI,03:45:00,Tuesday
2026,KRMI-CSMT SF,311,KARMALI,11:55:00,Monday,CST-MUMBAI,08:00:00,Monday
2191,JBP-SRC SF S,318,JABALPUR,20:00:00,Tuesday,SANTRAGACHI JN.,18:00:00,Tuesday
2192,SRC-JBP SF S,442,SANTRAGACHI JN.,08:40:00,Wednesday,JABALPUR,04:45:00,Friday
2195,REWA-BPL SF,71007,REWA,02:00:00,Thursday,BHOPAL,00:05:00,Saturday
2196,BPL-REWA SF,821,BHOPAL,11:00:00,Monday,REWA,08:00:00,Monday
2515,TVC-SCL SPL,166100,TRIVANDRUM CENTRAL,13:00:00,Wednesday,SILCHAR,09:15:00,Friday
2651,PLNI-POY EXP,1951,PALANI,10:50:00,Monday,POLLACHI,07:00:00,Monday
2652,POY-PLNI EXP,2213,POLLACHI,22:55:00,Thursday,PALANI,22:00:00,Saturday
2731,HYB-JP HSP,2455,HYDERABAD DECCAN,08:45:00,Thursday,JAIPUR JN.,05:00:00,Saturday
2732,JP-HYB SPECI,251007,JAIPUR JN.,11:30:00,Monday,HYDERABAD DECCAN,11:00:00,Monday
2821,PUNE-SRC AC,251008,PUNE JN.,19:30:00,Friday,SANTRAGACHI JN.,19:00:00,Friday
2822,SRC-PUNE  AC,2694,SANTRAGACHI JN.,02:30:00,Friday,PUNE JN.,02:30:00,Friday
2833,RJT-SRC SF A,100,RAJKOT,21:30:00,Thursday,SANTRAGACHI JN.,21:30:00,Saturday
2834,SRC-RJT SF A,131,SANTRAGACHI JN.,01:30:00,Saturday,RAJKOT,01:20:00,Monday
2841,SRC MAS SPL,315,SANTRAGACHI JN.,05:30:00,Wednesday,CHENNAI CENTRAL,05:20:00,Friday
2842,MAS SRC SPL,438,CHENNAI CENTRAL,07:35:00,Wednesday,SANTRAGACHI JN.,07:30:00,Friday
2845,PUNE HTE SPL,11001003,PUNE JN.,15:05:00,Thursday,HATIA,14:55:00,Saturday
2846,HTE-PUNE SPL,1221,HATIA,19:15:00,Friday,PUNE JN.,19:10:00,Friday
3101,KOAA PURI SP,1295,KOLKATA,23:55:00,Friday,PURI,23:50:00,Friday
3102,PURI KOAA SP,1323,PURI,01:20:00,Sunday,KOLKATA,01:15:00,Tuesday
3301,ASN-DHN MEMU,143100,ASANSOL MAIN,04:50:00,Wednesday,DHANBAD JN.,04:45:00,Friday
3302,DHN-ASN MEMU,1527,DHANBAD JN.,07:15:00,Monday,ASANSOL MAIN,07:10:00,Monday
3305,DHN-KUSUNDA,1561,DHANBAD JN.,08:05:00,Saturday,KUSUNDA,08:00:00,Monday
3306,KUSUNDA-DHN,1618,KUSUNDA,10:00:00,Friday,DHANBAD JN.,10:00:00,Friday
3307,SZE-PLJE MEM,100,SONARDIH,23:00:00,Wednesday,PHULWARTANR,23:00:00,Friday
3308,PLJE-SZE MEM,21007,PHULWARTANR,03:30:00,Friday,SONARDIH,03:03:00,Friday
3501,JSME-ANVT BI,319,JASIDIH JN.,06:30:00,Sunday,ANAND VIHAR TERMINAL,06:00:00,Tuesday
3502,ANVT-JSME BI,456,ANAND VIHAR TERMINAL,09:47:00,Saturday,JASIDIH JN.,09:42:00,Monday
4401,ANVT-UHP EXP,1276,ANAND VIHAR TERMINAL,08:00:00,Thursday,SHRI MATA VAISHNO DEVI KATRA,08:00:00,Saturday
4402,UHP-ANVT EXP,100,SHRI MATA VAISHNO DEVI KATRA,11:45:00,Thursday,ANAND VIHAR TERMINAL,11:45:00,Saturday
4409,DLI-SVDK SPL,82100,DELHI JN.,03:30:00,Sunday,SHRI MATA VAISHNO DEVI KATRA,03:25:00,Tuesday
4410,SVDK-DLI SPL,956,SHRI MATA VAISHNO DEVI KATRA,07:05:00,Wednesday,DELHI JN.,06:35:00,Friday
4419,MAO-NZM WINT,110069,MADGOAN JN.,09:35:00,Sunday,HAZRAT NIZAMUDDIN JN,09:30:00,Tuesday
4420,NZM-MAO WINT,1277,HAZRAT NIZAMUDDIN JN,14:30:00,Wednesday,MADGOAN JN.,14:30:00,Friday
4735,BKN - HW EXP,100,BIKANER JN.,12:10:00,Sunday,HARIDWAR JN,12:10:00,Tuesday
4736,HW - BKN EXP,81,HARIDWAR JN,14:25:00,Tuesday,BIKANER JN.,13:55:00,Tuesday
4767,HMH-SGNR SPL,141,HANUMANGARH JN.,16:20:00,Sunday,SHRI GANGANAGAR,15:55:00,Tuesday
4768,SGNR-HMH SPL,189,SHRI GANGANAGAR,17:40:00,Wednesday,HANUMANGARH JN.,17:38:00,Friday
4769,HMH SGNR PAS,317,HANUMANGARH JN.,20:15:00,Monday,SHRI GANGANAGAR,20:13:00,Monday
4770,SGNR HMH PAS,762,SHRI GANGANAGAR,05:35:00,Thursday,HANUMANGARH JN.,05:30:00,Saturday
4771,SDLP-SGNR SP,110098,SADULPUR JN,12:50:00,Tuesday,SHRI GANGANAGAR,12:40:00,Tuesday
4772,SGNR-SDLP SP,1513,SHRI GANGANAGAR,16:20:00,Tuesday,SADULPUR JN,16:10:00,Tuesday
4773,SGNR SOG SPL,185100,SHRI GANGANAGAR,21:05:00,Tuesday,SURATGARH JN.,21:00:00,Tuesday
4774,SOG SGNR SPL,2299,SURATGARH JN.,07:15:00,Sunday,SHRI GANGANAGAR,07:13:00,Tuesday
4801,PBC MKN PASS,2426,PARVATSAR CITY,09:45:00,Thursday,MAKRANA JN.,09:43:00,Saturday
4802,MKN PBC PASS,2474,MAKRANA JN.,11:35:00,Saturday,PARVATSAR CITY,11:05:00,Monday
4831,JU HW SPL,2534,JODHPUR JN.,13:40:00,Sunday,HARIDWAR JN,13:10:00,Tuesday
4832,HW JU SPL,2616,HARIDWAR JN,15:20:00,Wednesday,JODHPUR JN.,15:20:00,Friday
4851,MTD RTGH SPL,100,MERTA ROAD JN.,10:30:00,Thursday,RATANAGARH JN,10:30:00,Saturday
4852,RTGH MTD SPL,21009,RATANAGARH JN,14:10:00,Monday,MERTA ROAD JN.,14:00:00,Monday
4853,RTGH CUR SPL,557,RATANAGARH JN,20:35:00,Monday,CHURU,20:30:00,Monday
4854,CUR RTGH SPL,997,CHURU,04:45:00,Monday,RATANAGARH JN,04:20:00,Monday
4921,SRE-UMB MEMU,110052,SAHARANPUR JN.,05:55:00,Tuesday,AMBALA CANTT JN,05:50:00,Tuesday
4922,UMB-SRE MEMU,110097,AMBALA CANTT JN,06:40:00,Tuesday,SAHARANPUR JN.,06:35:00,Tuesday
4991,PTK-JAT DEMU,1131,PATHANKOT JN.,07:30:00,Wednesday,JAMMU TAWI,07:25:00,Friday
4992,JAT-PTK DEMU,1164,JAMMU TAWI,08:10:00,Sunday,PATHANKOT JN.,08:05:00,Tuesday
5061,GKP - BNY SP,121006,GORAKHPUR JN.,09:30:00,Wednesday,BARHNI,09:30:00,Friday
5062,BNY - GKP SP,100,BARHNI,09:00:00,Monday,GORAKHPUR JN.,09:00:00,Monday
5065,CPR-LJN,21007,CHHAPRA JN.,12:40:00,Thursday,LUCKNOW JN.,12:30:00,Saturday
5066,LJN-CPR-EXP,1313,LUCKNOW JN.,10:00:00,Saturday,CHHAPRA JN.,10:00:00,Monday
5105,GKP-BST SPL,100,GORAKHPUR JN.,14:15:00,Wednesday,BASTI,14:15:00,Friday
5106,BST-GKP SPL,21007,BASTI,18:15:00,Monday,GORAKHPUR JN.,18:10:00,Monday
5305,CPA-FBD EXP,1161,KANPUR ANWARGANJ,15:45:00,Thursday,FARRUKHABAD JN,15:45:00,Saturday
5306,FBD- CPA EXP,100,FARRUKHABAD JN,23:30:00,Saturday,KANPUR ANWARGANJ,23:30:00,Monday
5309,BC-LKU SPL,131001,BAREILLY CITY,11:00:00,Friday,LALKUA JN.,11:00:00,Friday
5310,LKU-BC EXP,100,LALKUA JN.,12:30:00,Wednesday,BAREILLY CITY,12:30:00,Friday
5521,JMP-SHC SPEC,21007,JAMALPUR JN.,16:30:00,Saturday,SAHARSA JN.,16:20:00,Monday
5522,SHC-JMP SPEC,1429,SAHARSA JN.,16:00:00,Monday,JAMALPUR JN.,16:00:00,Monday
5613,JLWC-KOTA SP,100,JHALAWAR CITY,00:20:00,Sunday,KOTA,00:20:00,Tuesday
5614,KOTA-JLWC SP,8,KOTA,00:40:00,Sunday,JHALAWAR CITY,00:37:00,Tuesday
5619,NLP - MZS PA,33,NORTH LAKHIMPUR,01:10:00,Thursday,MURKEONG SELEK,01:07:00,Saturday
5620,MZS - NLP PA,53,MURKEONG SELEK,01:35:00,Tuesday,NORTH LAKHIMPUR,01:32:00,Tuesday
5631,GHY - SCL PA,136,GUWAHATI,03:45:00,Wednesday,SILCHAR,03:40:00,Friday
5632,SCL - GHY PA,187,SILCHAR,04:30:00,Friday,GUWAHATI,04:27:00,Friday
5715,GAREEB NAWAZ,26100,NEW JALPAIGURI JN,05:30:00,Monday,KISHANGANJ,05:27:00,Monday
5716,GAREEB NAWAZ,419,KISHANGANJ,07:10:00,Thursday,NEW JALPAIGURI JN,07:08:00,Saturday
5719,KIR - SGUJ D,444,KATIHAR JN.,07:45:00,Saturday,SILIGURI JN.,07:35:00,Monday
5720,SGUJ - KIR D,499,SILIGURI JN.,08:20:00,Tuesday,KATIHAR JN.,08:18:00,Tuesday
5863,RNY - RPAN P,551,RANGIYA JN.,09:00:00,Saturday,RANGAPARA NORTH,08:58:00,Monday
5864,RPAN - RNY P,588,RANGAPARA NORTH,09:28:00,Saturday,RANGIYA JN.,09:25:00,Monday
5865,RNY - MZS PA,626,RANGIYA JN.,10:05:00,Thursday,MURKEONG SELEK,10:02:00,Saturday
5866,MZS - RNY PA,667,MURKEONG SELEK,11:05:00,Monday,RANGIYA JN.,11:02:00,Monday
6001,MS-TEN SPECI,713,CHENNAI EGMORE,11:42:00,Friday,TIRUNELVELI JN,11:41:00,Friday
6002,TEN - MS SPE,733,TIRUNELVELI JN,11:59:00,Wednesday,CHENNAI EGMORE,11:58:00,Friday
6006,ERS-MAS SPL,762,ERNAKULAM. JN,12:35:00,Tuesday,CHENNAI CENTRAL,12:32:00,Tuesday
6009,SRC-PDY SPL,841,SANTRAGACHI JN.,14:20:00,Tuesday,PONDICHERRY,14:20:00,Tuesday
6010,PDY-SRC SPL,100,PONDICHERRY,01:10:00,Monday,SANTRAGACHI JN.,01:10:00,Monday
6041,MAS-QLN SPEC,17,CHENNAI CENTRAL,01:35:00,Monday,QUILON,01:33:00,Monday
6042,QLN-MAS SPEC,54,QUILON,02:13:00,Thursday,CHENNAI CENTRAL,02:10:00,Saturday
6043,MAS-QLN SPL,131,CHENNAI CENTRAL,04:00:00,Saturday,QUILON,03:53:00,Monday
6044,QLN-MAS  SPL,235,QUILON,05:08:00,Friday,CHENNAI CENTRAL,05:06:00,Friday
6046,QLN-MAS SPEC,264,QUILON,05:40:00,Tuesday,CHENNAI CENTRAL,05:30:00,Tuesday
